event date,volunteer number,event budge,event type,volunteer certification,total number,event location,volunteer's bonus,volunteer's score,satisfy
4/9/2015,11,4000,Equipment Sorter,Y,600,North Vancouver,395,40,Y
3/4/2015,37,3000,Equipment Sorter,Y,500,Maple Ridge,363,40,Y
7/1/2015,31,3000,Fundraising,Y,600,Coquitlam,42,20,Y
1/19/2015,11,2000,Chamber of Commerce,Y,400,Burnaby,221,40,Y
7/21/2015,23,2000,Study buddy Tutor,Y,50,Langley,335,30,Y
2/24/2015,16,3000,Visual Arts Committee,N,500,Vancouver,49,20,Y
1/8/2015,22,4000,Development Volunteer,Y,200,New Westminster,422,40,Y
9/15/2015,21,4000,Speech,Y,100,Coquitlam,422,20,Y
1/29/2015,23,1000,Seniors Centre Volunteer,Y,300,Maple Ridge,471,30,Y
1/27/2015,19,4000,Social Media,Y,50,North Vancouver,488,10,Y
1/20/2015,11,3000,In-School Mentor,N,500,Vancouver,234,30,Y
10/19/2015,14,3000,Childcare,Y,50,New Westminster,444,50,Y
6/16/2015,27,3000,Community Visitor,Y,100,Langley,184,50,N
4/2/2015,39,1000,Study buddy Tutor,Y,300,Langley,349,40,Y
2/28/2015,14,2000,Market Volunteer,Y,300,Langley,429,10,Y
3/26/2015,27,2000,Competition,Y,200,Maple Ridge,29,50,Y
3/16/2015,22,1000,Visual Arts Committee,Y,400,Burnaby,216,20,Y
4/2/2015,10,4000,Graphic Design,Y,400,Coquitlam,392,10,Y
3/25/2015,12,2000,Charitable Donations,N,100,Maple Ridge,312,50,Y
9/28/2015,16,3000,Museum Tour Guide,Y,100,West Vancouver,51,40,Y
3/8/2015,18,2000,Seniors Centre Volunteer,Y,600,New Westminster,140,20,Y
2/24/2015,37,4000,Festival,N,400,Coquitlam,476,40,Y
5/24/2015,26,3000,Training,N,300,Coquitlam,131,10,Y
8/16/2015,17,4000,Meals on Wheels Volunteer,Y,300,Maple Ridge,459,40,N
5/27/2015,28,1000,Big Sister Program,Y,200,North Vancouver,441,50,Y
9/9/2015,11,4000,Market Volunteer,Y,600,Richmond,202,10,Y
5/6/2015,22,2000,Seniors Centre Volunteer,Y,200,North Vancouver,497,50,Y
4/26/2015,15,2000,Training,Y,500,West Vancouver,108,50,Y
2/17/2015,32,1000,In-School Mentor,Y,600,Langley,30,10,Y
2/7/2015,17,2000,Chamber of Commerce,Y,200,New Westminster,472,20,Y
5/12/2015,29,3000,Special Event,Y,600,Vancouver,100,20,Y
4/13/2015,10,1000,Office Volunteer,N,50,Maple Ridge,249,50,Y
2/28/2015,24,4000,Competition,Y,50,Burnaby,337,40,Y
1/5/2015,37,4000,Visual Arts Committee,Y,200,Maple Ridge,216,50,N
2/30/2015,28,4000,Chamber of Commerce,Y,100,North Vancouver,53,40,Y
4/25/2015,11,2000,Equipment Sorter,Y,500,Maple Ridge,419,20,Y
7/20/2015,10,4000,Nature House Volunteer,Y,200,Coquitlam,92,50,Y
7/15/2015,22,3000,Childcare,Y,200,North Vancouver,272,20,Y
1/25/2015,33,3000,Chamber of Commerce,Y,300,Richmond,182,20,Y
10/5/2015,10,4000,Festival,Y,400,Richmond,334,50,Y
10/15/2015,25,4000,Community Visitor,Y,200,Richmond,176,20,Y
2/11/2015,18,2000,Big Sister Program,Y,200,Burnaby,217,20,Y
5/23/2015,30,4000,Training,Y,500,Maple Ridge,374,10,Y
3/25/2015,39,2000,Competition,Y,300,West Vancouver,358,40,Y
1/27/2015,40,3000,Speech,Y,300,Richmond,240,20,Y
10/6/2015,16,2000,Office Volunteer,Y,50,Richmond,405,10,Y
10/26/2015,37,3000,Childcare,Y,200,Richmond,122,30,Y
3/21/2015,34,3000,Conference,Y,100,Richmond,402,50,Y
10/1/2015,32,4000,Conference,N,600,Vancouver,371,30,Y
1/21/2015,23,3000,Chamber of Commerce,Y,400,Burnaby,196,50,Y
4/6/2015,22,4000,Contest,Y,500,Burnaby,255,40,Y
5/6/2015,35,1000,Visual Arts Committee,Y,50,New Westminster,21,40,Y
8/30/2015,28,1000,Urban Native Youth Association,Y,600,Coquitlam,406,20,Y
4/10/2015,20,4000,Competition,N,300,Richmond,126,40,Y
1/26/2015,14,2000,Fundraising,Y,50,New Westminster,158,10,Y
4/19/2015,32,4000,Market Volunteer,Y,400,West Vancouver,350,20,Y
3/1/2015,24,1000,Charitable Donations,Y,100,North Vancouver,171,40,Y
1/30/2015,32,3000,Big Sister Program,Y,600,Langley,246,30,Y
4/5/2015,22,4000,Festival,Y,400,Langley,480,50,Y
3/25/2015,22,4000,Study buddy Tutor,Y,200,Langley,240,40,Y
8/14/2015,20,4000,Contest,Y,100,Richmond,478,10,Y
1/11/2015,13,1000,Health Product Study,Y,200,North Vancouver,414,20,Y
10/7/2015,18,3000,Parade,Y,200,West Vancouver,500,10,Y
10/30/2015,16,2000,Visual Arts Committee,Y,600,Coquitlam,155,50,Y
8/25/2015,20,1000,Festival,Y,200,New Westminster,323,30,Y
8/19/2015,25,1000,Festival,Y,300,Maple Ridge,50,40,Y
4/9/2015,10,3000,Contest,Y,300,Vancouver,165,50,Y
6/25/2015,12,3000,Chamber of Commerce,Y,100,Langley,310,50,Y
9/16/2015,15,2000,Childcare,Y,50,Richmond,321,20,Y
2/8/2015,13,2000,Equipment Sorter,Y,200,Burnaby,27,40,Y
8/29/2015,22,2000,Visual Arts Committee,Y,600,Burnaby,278,40,Y
10/13/2015,32,1000,Graphic Design,Y,50,West Vancouver,355,40,Y
4/11/2015,16,4000,Market Volunteer,Y,300,Coquitlam,355,20,Y
8/19/2015,31,3000,Urban Native Youth Association,Y,100,West Vancouver,150,20,Y
2/29/2015,32,2000,Conference,Y,600,New Westminster,44,30,N
8/21/2015,26,1000,Meals on Wheels Volunteer,Y,600,Vancouver,273,40,Y
3/17/2015,38,2000,Training,N,200,Langley,477,10,Y
7/3/2015,32,4000,Childcare,Y,500,Coquitlam,210,10,Y
4/12/2015,36,4000,Equipment Sorter,Y,100,Vancouver,233,30,Y
9/4/2015,39,3000,Recreation Assistants,Y,50,Maple Ridge,368,50,Y
2/24/2015,36,2000,Festival,Y,600,North Vancouver,31,40,Y
5/28/2015,16,4000,Competition,Y,600,Richmond,416,50,N
10/17/2015,32,3000,Seniors Centre Volunteer,Y,500,New Westminster,245,30,Y
10/2/2015,24,2000,Childcare,Y,50,Vancouver,16,30,Y
9/19/2015,32,1000,Recreation Assistants,Y,100,Burnaby,164,20,Y
10/5/2015,28,2000,In-School Mentor,Y,100,Maple Ridge,144,50,Y
8/19/2015,30,4000,Conference,Y,300,North Vancouver,308,20,Y
6/5/2015,31,2000,Conference,Y,500,Maple Ridge,360,30,Y
1/8/2015,21,4000,Visual Arts Committee,Y,50,New Westminster,263,40,Y
1/9/2015,33,4000,Graphic Design,Y,600,New Westminster,401,50,Y
2/6/2015,21,1000,Childen Program,Y,50,Richmond,474,40,Y
8/30/2015,39,2000,Food Hamper Volunteer,Y,400,Coquitlam,39,50,N
3/27/2015,40,3000,Festival,Y,100,Richmond,420,50,Y
1/28/2015,17,3000,Market Volunteer,Y,400,Vancouver,398,20,Y
9/13/2015,13,4000,Equipment Sorter,Y,200,Langley,101,50,Y
8/1/2015,13,4000,Training,Y,200,North Vancouver,188,50,Y
10/18/2015,28,2000,Concert,Y,300,North Vancouver,91,50,N
5/11/2015,28,4000,Graphic Design,Y,400,Burnaby,458,10,Y
10/13/2015,18,3000,Meals on Wheels Volunteer,Y,400,Burnaby,331,50,Y
4/17/2015,22,1000,Market Volunteer,Y,200,Vancouver,51,40,Y
5/30/2015,14,3000,Childen Program,Y,50,New Westminster,10,40,Y
2/26/2015,24,4000,Health Product Study,Y,200,West Vancouver,45,50,Y
8/30/2015,37,3000,Office Volunteer,Y,300,Burnaby,198,20,Y
2/14/2015,22,4000,Visual Arts Committee,N,600,Langley,146,50,Y
5/22/2015,34,3000,Concert,Y,100,Coquitlam,438,10,Y
3/5/2015,39,1000,Childcare,Y,200,Coquitlam,411,30,N
3/3/2015,19,2000,Social Media,Y,300,Coquitlam,241,30,Y
1/17/2015,34,1000,Festival,Y,500,Vancouver,329,30,Y
2/20/2015,30,2000,Cultural event,Y,50,Burnaby,251,50,Y
10/22/2015,17,1000,Special Event,Y,100,Coquitlam,499,20,N
9/21/2015,40,1000,Big Sister Program,Y,50,Maple Ridge,202,50,N
1/2/2015,27,4000,Health Product Study,Y,300,North Vancouver,271,10,N
3/1/2015,40,1000,In-School Mentor,Y,400,New Westminster,361,30,N
9/2/2015,14,2000,Contest,Y,400,Maple Ridge,385,20,Y
3/21/2015,20,3000,Survey,N,300,North Vancouver,271,30,Y
5/30/2015,31,4000,Speech,Y,200,Burnaby,173,50,Y
6/2/2015,18,4000,Study buddy Tutor,Y,600,West Vancouver,42,40,Y
10/26/2015,10,4000,Recreation Assistants,Y,100,Maple Ridge,332,50,Y
1/27/2015,19,4000,Training,Y,200,Coquitlam,426,50,Y
10/6/2015,12,1000,Study buddy Tutor,Y,400,Burnaby,22,10,Y
6/22/2015,22,3000,Seniors Centre Volunteer,Y,100,North Vancouver,482,50,Y
2/18/2015,12,2000,Visual Arts Committee,Y,200,Richmond,152,50,Y
2/4/2015,35,3000,In-School Mentor,Y,400,New Westminster,162,50,Y
3/26/2015,30,2000,Health Product Study,Y,500,North Vancouver,380,50,Y
4/28/2015,11,2000,Seniors Centre Volunteer,Y,600,Langley,335,20,N
10/29/2015,26,2000,Childcare,Y,300,Burnaby,422,30,Y
3/15/2015,29,4000,Cultural event,Y,100,Vancouver,219,30,Y
6/16/2015,13,4000,Parade,N,50,New Westminster,338,10,Y
7/4/2015,39,3000,Recreation Assistants,Y,50,West Vancouver,245,40,Y
4/12/2015,15,3000,Childcare,Y,300,West Vancouver,70,30,Y
2/28/2015,29,3000,Meals on Wheels Volunteer,Y,600,Vancouver,90,50,N
7/16/2015,25,2000,Health Product Study,Y,200,Maple Ridge,305,20,Y
9/5/2015,22,3000,Special Event,Y,200,Richmond,446,50,Y
1/13/2015,30,3000,Seniors Centre Volunteer,N,400,Langley,467,10,Y
7/2/2015,11,3000,Survey,Y,500,Coquitlam,145,50,Y
5/29/2015,30,3000,Market Volunteer,Y,300,New Westminster,121,40,N
2/27/2015,17,3000,Visual Arts Committee,Y,300,North Vancouver,53,20,Y
6/3/2015,34,2000,Recreation Assistants,Y,400,North Vancouver,387,50,Y
1/17/2015,37,2000,Health Product Study,Y,300,Richmond,500,40,Y
2/25/2015,15,1000,Childcare,Y,50,Richmond,80,40,N
4/19/2015,19,3000,Charitable Donations,Y,400,Burnaby,315,30,Y
8/3/2015,15,1000,Conference,Y,500,Coquitlam,302,50,Y
3/9/2015,17,4000,Museum Tour Guide,Y,300,Vancouver,128,30,Y
3/20/2015,19,4000,Community Visitor,Y,500,Richmond,475,20,Y
1/19/2015,20,2000,Market Volunteer,Y,200,Coquitlam,14,30,Y
8/4/2015,22,3000,Charitable Donations,Y,300,New Westminster,54,50,N
8/13/2015,30,4000,Graphic Design,Y,100,North Vancouver,206,10,Y
6/27/2015,12,4000,Recreation Assistants,Y,600,New Westminster,182,10,Y
7/9/2015,36,1000,Market Volunteer,N,600,Burnaby,390,20,Y
6/24/2015,19,2000,Nature House Volunteer,Y,500,Langley,142,30,Y
4/11/2015,20,1000,Social Media,Y,50,Burnaby,420,30,Y
3/12/2015,22,4000,Cultural event,Y,50,North Vancouver,30,50,Y
8/14/2015,11,2000,Seniors Centre Volunteer,Y,50,Vancouver,93,10,Y
4/2/2015,13,1000,Speech,Y,400,Vancouver,265,20,Y
2/14/2015,37,2000,Recreation Assistants,N,500,Richmond,89,30,Y
6/9/2015,37,2000,Recreation Assistants,Y,400,Richmond,176,10,Y
7/26/2015,20,2000,Food Hamper Volunteer,N,200,Langley,412,50,Y
7/24/2015,25,1000,Graphic Design,Y,200,Coquitlam,314,50,Y
9/11/2015,32,1000,Meals on Wheels Volunteer,Y,400,Vancouver,285,10,Y
1/29/2015,11,1000,Development Volunteer,Y,400,Coquitlam,492,20,Y
2/3/2015,26,3000,Development Volunteer,Y,50,Coquitlam,498,50,Y
7/5/2015,10,4000,Visual Arts Committee,Y,300,Maple Ridge,26,40,Y
1/1/2015,37,3000,Big Sister Program,N,600,Burnaby,445,50,N
5/17/2015,20,1000,Health Product Study,Y,200,North Vancouver,242,30,Y
4/24/2015,23,2000,Festival,Y,400,Vancouver,12,50,Y
2/6/2015,26,1000,Conference,Y,100,Burnaby,60,50,Y
6/15/2015,35,4000,Visual Arts Committee,Y,500,West Vancouver,456,30,Y
5/16/2015,40,2000,Childcare,Y,600,West Vancouver,88,10,Y
2/19/2015,19,1000,Museum Tour Guide,Y,400,North Vancouver,471,30,Y
4/21/2015,33,3000,Social Media,Y,400,North Vancouver,187,30,Y
6/19/2015,38,1000,Visual Arts Committee,Y,50,Vancouver,184,50,N
4/10/2015,29,1000,Market Volunteer,Y,50,Richmond,306,40,Y
9/10/2015,14,1000,Equipment Sorter,Y,500,Langley,430,10,Y
6/3/2015,26,1000,Big Sister Program,Y,100,Langley,235,20,Y
8/4/2015,10,2000,Recreation Assistants,Y,400,Vancouver,101,40,Y
2/10/2015,34,3000,Market Volunteer,Y,100,Vancouver,305,10,Y
5/26/2015,22,3000,Childen Program,Y,200,Richmond,266,20,Y
4/2/2015,12,2000,Food Hamper Volunteer,Y,300,New Westminster,150,40,Y
1/24/2015,36,1000,Seniors Centre Volunteer,Y,100,New Westminster,339,50,Y
3/18/2015,24,4000,Concert,Y,100,Vancouver,158,30,N
3/6/2015,31,4000,Fitness Class,Y,500,Langley,163,30,Y
10/12/2015,22,1000,Concert,Y,600,Langley,399,50,N
6/17/2015,10,1000,Museum Tour Guide,N,500,Coquitlam,463,20,Y
2/3/2015,31,2000,Competition,Y,600,Coquitlam,146,30,Y
7/12/2015,31,4000,Food Hamper Volunteer,Y,300,New Westminster,46,20,N
10/25/2015,13,4000,Market Volunteer,Y,50,Langley,27,40,Y
8/12/2015,33,2000,Social Media,Y,300,Coquitlam,388,10,Y
2/6/2015,23,3000,Festival,Y,300,New Westminster,347,30,Y
8/21/2015,35,3000,Cultural event,Y,50,Coquitlam,74,20,Y
5/20/2015,30,4000,Visual Arts Committee,Y,400,Burnaby,74,40,Y
1/9/2015,33,3000,Nature House Volunteer,Y,300,Burnaby,492,30,Y
10/28/2015,24,2000,Festival,Y,300,New Westminster,317,30,N
7/29/2015,10,2000,In-School Mentor,Y,300,Maple Ridge,198,20,Y
1/22/2015,30,4000,Nature House Volunteer,Y,600,West Vancouver,277,50,Y
7/15/2015,10,2000,Cultural event,N,300,Coquitlam,452,40,Y
4/23/2015,32,2000,Childen Program,Y,400,New Westminster,68,20,Y
5/22/2015,23,4000,Chamber of Commerce,Y,50,Maple Ridge,66,40,Y
10/1/2015,33,3000,Equipment Sorter,Y,600,New Westminster,402,30,Y
2/15/2015,15,4000,Fitness Class,Y,50,Maple Ridge,181,20,Y
6/17/2015,38,2000,Urban Native Youth Association,Y,300,Coquitlam,293,10,Y
9/19/2015,27,2000,Seniors Centre Volunteer,Y,100,North Vancouver,300,30,Y
6/30/2015,38,1000,Health Product Study,Y,400,Coquitlam,189,40,Y
10/2/2015,15,4000,Food Hamper Volunteer,Y,300,New Westminster,190,30,Y
3/15/2015,25,1000,Social Media,Y,400,North Vancouver,424,50,Y
5/6/2015,13,1000,Visual Arts Committee,Y,100,Burnaby,312,30,Y
7/2/2015,17,2000,Big Sister Program,Y,400,North Vancouver,400,10,N
3/5/2015,23,1000,Conference,N,500,Richmond,136,50,Y
7/22/2015,19,4000,Festival,Y,500,Maple Ridge,39,50,Y
6/5/2015,25,3000,Speech,Y,300,Maple Ridge,292,20,Y
5/6/2015,33,3000,Special Event,N,500,West Vancouver,218,20,N
4/19/2015,31,2000,Market Volunteer,Y,100,Langley,286,20,Y
3/25/2015,10,3000,Childen Program,Y,50,Coquitlam,467,30,Y
3/25/2015,27,2000,In-School Mentor,Y,400,New Westminster,414,30,Y
1/20/2015,38,1000,Competition,Y,500,Richmond,432,20,Y
5/29/2015,16,3000,Office Volunteer,Y,100,Langley,421,20,Y
5/12/2015,35,4000,Health Product Study,Y,500,Coquitlam,104,40,Y
3/22/2015,29,4000,Chamber of Commerce,Y,200,Richmond,245,10,Y
6/29/2015,35,1000,Museum Tour Guide,Y,300,Vancouver,74,10,Y
5/26/2015,19,1000,Fundraising,Y,300,Burnaby,345,10,Y
3/2/2015,16,2000,Special Event,Y,600,Langley,406,50,Y
2/23/2015,40,4000,Recreation Assistants,Y,600,New Westminster,19,30,Y
3/17/2015,17,3000,Visual Arts Committee,Y,300,Maple Ridge,409,10,Y
10/8/2015,37,2000,Party,Y,100,West Vancouver,257,20,N
8/28/2015,15,2000,Survey,N,500,Richmond,419,50,Y
4/30/2015,18,1000,Concert,Y,100,Burnaby,340,50,Y
8/8/2015,22,3000,Food Hamper Volunteer,Y,600,Vancouver,128,50,Y
9/24/2015,15,1000,Cultural event,Y,50,Vancouver,170,30,Y
2/18/2015,22,4000,Visual Arts Committee,N,200,New Westminster,16,40,Y
10/24/2015,37,2000,Party,Y,100,Richmond,418,40,Y
4/17/2015,33,4000,Training,Y,50,Maple Ridge,430,50,Y
6/29/2015,27,1000,Visual Arts Committee,Y,200,New Westminster,326,50,Y
2/14/2015,10,2000,Meals on Wheels Volunteer,Y,500,New Westminster,222,10,N
4/9/2015,33,3000,Competition,Y,200,Coquitlam,407,30,Y
10/23/2015,35,1000,Recreation Assistants,Y,50,North Vancouver,254,10,N
8/29/2015,15,3000,Survey,N,300,Burnaby,462,20,N
4/26/2015,36,2000,Fitness Class,Y,600,North Vancouver,63,50,Y
4/23/2015,27,1000,Fitness Class,Y,600,North Vancouver,116,20,Y
4/25/2015,18,4000,Survey,Y,100,New Westminster,321,50,Y
2/22/2015,34,3000,Chamber of Commerce,Y,400,Maple Ridge,213,40,Y
4/6/2015,36,4000,Development Volunteer,Y,200,New Westminster,254,10,Y
6/11/2015,25,1000,Parade,Y,300,Langley,10,10,Y
2/17/2015,36,4000,Food Hamper Volunteer,Y,500,Burnaby,50,50,Y
6/8/2015,10,2000,Big Sister Program,Y,400,Coquitlam,222,30,Y
4/28/2015,24,2000,Big Sister Program,Y,600,Maple Ridge,385,20,Y
9/5/2015,16,3000,Big Sister Program,Y,400,Vancouver,23,10,N
8/19/2015,30,3000,Special Event,Y,500,New Westminster,113,20,Y
2/5/2015,25,4000,Concert,Y,300,Vancouver,172,10,Y
8/25/2015,18,2000,Childcare,Y,600,Richmond,367,10,Y
2/13/2015,35,4000,Parade,Y,100,Maple Ridge,247,10,Y
1/5/2015,28,1000,Conference,Y,300,Richmond,197,30,Y
6/9/2015,16,2000,Contest,Y,600,Langley,237,50,Y
3/10/2015,18,2000,Office Volunteer,Y,100,New Westminster,16,20,Y
5/17/2015,11,4000,Fitness Class,Y,400,Langley,20,10,N
10/1/2015,21,2000,Chamber of Commerce,Y,300,Langley,468,20,Y
9/5/2015,10,1000,Graphic Design,Y,500,Coquitlam,484,50,Y
2/12/2015,30,1000,Training,Y,300,Maple Ridge,269,50,Y
5/21/2015,38,3000,Competition,Y,300,North Vancouver,460,50,Y
1/27/2015,24,4000,Market Volunteer,Y,300,Maple Ridge,124,20,N
1/23/2015,29,1000,Party,Y,50,Langley,198,40,N
4/15/2015,35,2000,Fundraising,Y,500,Langley,408,30,Y
8/5/2015,16,1000,Visual Arts Committee,Y,50,Coquitlam,482,50,Y
1/17/2015,20,1000,Graphic Design,Y,500,Richmond,303,20,Y
9/29/2015,24,2000,Contest,Y,600,Coquitlam,250,20,Y
6/1/2015,35,4000,Childen Program,Y,100,North Vancouver,435,50,Y
1/30/2015,16,1000,Social Media,Y,500,West Vancouver,488,50,N
6/1/2015,10,2000,Chamber of Commerce,Y,500,Richmond,477,50,N
1/5/2015,28,1000,Equipment Sorter,Y,600,New Westminster,249,30,Y
5/29/2015,19,4000,Food Hamper Volunteer,Y,600,Richmond,114,10,Y
10/8/2015,19,1000,Seniors Centre Volunteer,Y,500,Richmond,186,20,Y
10/7/2015,26,1000,Chamber of Commerce,Y,400,Langley,354,30,Y
10/27/2015,10,4000,Concert,Y,400,West Vancouver,180,50,Y
5/3/2015,20,4000,Fitness Class,Y,400,North Vancouver,427,20,Y
10/1/2015,16,4000,Study buddy Tutor,Y,400,Maple Ridge,477,50,Y
5/9/2015,13,1000,Development Volunteer,Y,400,Maple Ridge,262,50,Y
4/30/2015,18,3000,Meals on Wheels Volunteer,Y,600,Richmond,200,20,Y
1/23/2015,35,4000,Seniors Centre Volunteer,Y,100,Richmond,101,40,Y
4/24/2015,37,3000,Conference,Y,500,Vancouver,205,50,Y
3/12/2015,31,4000,Special Event,Y,50,Vancouver,108,50,Y
7/10/2015,17,1000,Childcare,Y,50,Vancouver,354,50,Y
4/16/2015,23,2000,Fitness Class,Y,100,Coquitlam,157,40,Y
6/24/2015,11,2000,Charitable Donations,Y,500,Burnaby,113,30,Y
4/29/2015,31,1000,Fundraising,Y,600,Langley,77,10,N
2/13/2015,25,4000,Fundraising,Y,500,Maple Ridge,324,20,Y
3/23/2015,13,1000,Urban Native Youth Association,Y,500,Richmond,414,20,Y
1/21/2015,28,2000,Recreation Assistants,Y,600,North Vancouver,352,10,Y
1/14/2015,16,4000,Concert,Y,400,Richmond,341,10,Y
8/4/2015,35,4000,Recreation Assistants,Y,300,Langley,168,20,Y
7/25/2015,22,1000,Development Volunteer,N,100,Richmond,363,40,Y
10/17/2015,14,2000,Market Volunteer,Y,200,Burnaby,341,50,Y
10/2/2015,23,2000,Seniors Centre Volunteer,Y,100,North Vancouver,62,10,Y
2/12/2015,30,4000,Seniors Centre Volunteer,Y,200,North Vancouver,360,30,Y
3/3/2015,31,4000,Cultural event,N,600,Richmond,62,10,Y
7/14/2015,19,1000,Museum Tour Guide,Y,100,New Westminster,491,30,Y
10/10/2015,39,1000,Concert,Y,400,Burnaby,219,20,Y
6/9/2015,18,1000,Visual Arts Committee,Y,300,Coquitlam,94,50,Y
10/29/2015,36,4000,Urban Native Youth Association,Y,400,New Westminster,370,10,Y
2/28/2015,38,3000,Health Product Study,N,300,Maple Ridge,165,20,Y
4/3/2015,17,1000,Food Hamper Volunteer,Y,500,Langley,284,10,Y
7/23/2015,32,2000,Study buddy Tutor,Y,100,Richmond,211,10,Y
8/20/2015,11,3000,Office Volunteer,Y,500,Burnaby,305,10,Y
3/21/2015,25,3000,Big Sister Program,N,100,North Vancouver,245,20,Y
6/22/2015,31,3000,Recreation Assistants,Y,50,Richmond,417,30,Y
7/6/2015,26,2000,Party,Y,400,Maple Ridge,443,10,Y
2/19/2015,25,1000,Meals on Wheels Volunteer,Y,500,Vancouver,197,10,Y
2/24/2015,12,3000,Visual Arts Committee,Y,500,Coquitlam,403,20,Y
1/23/2015,37,1000,Visual Arts Committee,N,50,North Vancouver,303,30,Y
10/16/2015,39,2000,Equipment Sorter,Y,500,Richmond,498,40,Y
7/22/2015,29,4000,Training,Y,500,New Westminster,496,30,N
2/3/2015,18,3000,Seniors Centre Volunteer,Y,200,West Vancouver,71,30,Y
10/20/2015,35,3000,Development Volunteer,Y,100,North Vancouver,282,20,Y
7/30/2015,13,1000,Urban Native Youth Association,Y,50,Vancouver,251,30,N
6/27/2015,28,4000,Seniors Centre Volunteer,Y,600,Maple Ridge,140,10,Y
2/12/2015,20,1000,Party,Y,400,West Vancouver,199,50,Y
7/6/2015,25,4000,Food Hamper Volunteer,Y,400,Maple Ridge,239,50,Y
6/4/2015,14,3000,Fundraising,Y,300,New Westminster,477,20,N
4/14/2015,24,2000,Chamber of Commerce,Y,200,West Vancouver,31,20,Y
2/18/2015,29,4000,Speech,Y,50,West Vancouver,364,30,Y
5/14/2015,31,1000,Food Hamper Volunteer,Y,200,Coquitlam,156,50,Y
8/25/2015,21,1000,Festival,Y,100,Langley,500,10,Y
5/6/2015,27,4000,Childen Program,Y,300,North Vancouver,17,30,Y
9/7/2015,14,4000,Social Media,Y,100,Burnaby,33,30,Y
9/16/2015,25,1000,Equipment Sorter,Y,200,New Westminster,78,30,Y
8/10/2015,18,2000,Fundraising,Y,300,Richmond,212,30,Y
7/20/2015,22,1000,Speech,Y,300,Coquitlam,362,10,Y
5/8/2015,39,1000,Recreation Assistants,Y,600,Coquitlam,113,10,Y
5/14/2015,18,3000,Party,Y,300,New Westminster,91,20,Y
9/7/2015,28,3000,Party,Y,300,Maple Ridge,372,20,Y
10/20/2015,15,4000,Fitness Class,Y,300,West Vancouver,315,40,N
5/15/2015,32,4000,Charitable Donations,Y,400,Vancouver,232,30,Y
9/6/2015,15,1000,Contest,Y,300,West Vancouver,136,30,Y
9/7/2015,31,3000,Visual Arts Committee,Y,600,Maple Ridge,493,40,N
4/2/2015,16,1000,Fitness Class,Y,600,New Westminster,441,10,Y
1/7/2015,14,2000,Market Volunteer,Y,400,North Vancouver,20,20,Y
2/17/2015,26,2000,Chamber of Commerce,Y,600,New Westminster,478,40,Y
4/15/2015,10,3000,Health Product Study,Y,400,North Vancouver,349,50,Y
1/17/2015,28,4000,Food Hamper Volunteer,Y,600,Vancouver,111,10,Y
3/21/2015,23,3000,Community Visitor,Y,600,Langley,322,40,Y
1/18/2015,32,1000,Speech,Y,200,Coquitlam,66,50,Y
4/3/2015,28,3000,Seniors Centre Volunteer,Y,100,Maple Ridge,464,50,Y
10/13/2015,37,2000,Childcare,Y,300,West Vancouver,450,10,Y
9/17/2015,11,1000,Contest,Y,200,Burnaby,38,20,Y
1/14/2015,39,3000,Market Volunteer,Y,200,Richmond,270,20,Y
7/19/2015,11,2000,Chamber of Commerce,Y,500,New Westminster,51,40,Y
6/10/2015,32,3000,Special Event,Y,600,Langley,321,50,Y
5/15/2015,37,1000,Fitness Class,N,400,Coquitlam,271,50,Y
10/7/2015,37,3000,Equipment Sorter,Y,200,North Vancouver,416,10,Y
3/7/2015,10,3000,Charitable Donations,Y,100,Burnaby,430,40,N
10/15/2015,14,4000,Fitness Class,Y,100,New Westminster,337,50,Y
7/15/2015,30,1000,Cultural event,Y,300,Burnaby,243,50,Y
5/17/2015,12,2000,Childcare,Y,100,Langley,296,10,Y
3/7/2015,10,2000,Festival,Y,600,Vancouver,249,50,Y
4/17/2015,21,1000,Health Product Study,N,500,West Vancouver,322,10,Y
4/18/2015,38,2000,Market Volunteer,Y,300,North Vancouver,307,30,Y
3/2/2015,40,3000,Nature House Volunteer,Y,500,West Vancouver,190,20,Y
9/13/2015,39,4000,Childcare,Y,600,West Vancouver,239,40,Y
2/19/2015,14,1000,Party,Y,400,Maple Ridge,42,20,Y
4/17/2015,39,3000,Urban Native Youth Association,Y,200,North Vancouver,467,10,N
4/24/2015,35,3000,Fitness Class,Y,400,Richmond,298,10,Y
6/20/2015,35,1000,Social Media,Y,400,Vancouver,203,50,Y
1/3/2015,18,3000,In-School Mentor,Y,500,Burnaby,271,20,Y
1/2/2015,31,4000,Market Volunteer,N,50,North Vancouver,264,10,Y
6/21/2015,21,2000,Urban Native Youth Association,Y,50,Vancouver,241,30,Y
3/28/2015,40,3000,Childen Program,Y,500,Richmond,487,40,Y
3/15/2015,38,4000,Training,N,300,Coquitlam,225,10,Y
5/5/2015,38,2000,Competition,Y,300,Coquitlam,73,40,Y
2/1/2015,11,1000,Recreation Assistants,Y,200,North Vancouver,28,40,Y
5/4/2015,17,4000,Childen Program,N,600,Richmond,466,40,Y
4/24/2015,25,3000,Festival,Y,100,Richmond,190,10,Y
7/25/2015,17,4000,Social Media,Y,300,Maple Ridge,236,20,Y
9/20/2015,13,2000,Contest,Y,100,Maple Ridge,477,30,Y
4/27/2015,36,4000,Meals on Wheels Volunteer,Y,50,North Vancouver,294,20,Y
6/24/2015,27,3000,Survey,Y,400,Maple Ridge,12,50,Y
